Date;4386 - GDP accumulated in the year - in US$ million - US$ (million)
01/1995;60,958
02/1995;120,602
03/1995;186,146
04/1995;249,949
05/1995;313,918
06/1995;378,696
07/1995;443,908
08/1995;510,246
09/1995;576,477
10/1995;642,474
11/1995;708,794
12/1995;770,733
01/1996;64,694
02/1996;129,984
03/1996;199,236
04/1996;267,249
05/1996;337,759
06/1996;406,981
07/1996;481,065
08/1996;556,858
09/1996;631,451
10/1996;706,949
11/1996;780,907
12/1996;851,019
01/1997;69,104
02/1997;136,829
03/1997;208,043
04/1997;279,645
05/1997;353,004
06/1997;426,448
07/1997;501,721
08/1997;578,327
09/1997;655,594
10/1997;736,020
11/1997;812,503
12/1997;883,282
01/1998;67,416
02/1998;133,302
03/1998;204,707
04/1998;275,628
05/1998;348,802
06/1998;420,895
07/1998;495,444
08/1998;570,566
09/1998;645,160
10/1998;720,883
11/1998;794,667
12/1998;863,872
01/1999;46,251
02/1999;91,635
03/1999;141,714
04/1999;190,879
05/1999;240,442
06/1999;290,255
07/1999;340,655
08/1999;392,506
09/1999;444,370
10/1999;497,047
11/1999;549,235
12/1999;599,290
01/2000;49,367
02/2000;100,636
03/2000;154,920
04/2000;207,019
05/2000;261,588
06/2000;316,691
07/2000;372,544
08/2000;429,802
09/2000;485,749
10/2000;543,942
11/2000;601,087
12/2000;655,707
01/2001;44,006
02/2001;88,233
03/2001;135,717
04/2001;182,422
05/2001;230,726
06/2001;275,750
07/2001;323,009
08/2001;371,415
09/2001;418,537
10/2001;467,005
11/2001;514,795
12/2001;559,563
01/2002;38,931
02/2002;77,885
03/2002;119,708
04/2002;161,784
05/2002;204,210
06/2002;245,570
07/2002;288,783
08/2002;332,929
09/2002;376,594
10/2002;421,850
11/2002;466,163
12/2002;508,101
01/2003;36,233
02/2003;72,496
03/2003;112,799
04/2003;157,624
05/2003;204,617
06/2003;252,076
07/2003;301,920
08/2003;349,666
09/2003;400,779
10/2003;455,801
11/2003;508,650
12/2003;559,465
01/2004;49,797
02/2004;98,022
03/2004;153,226
04/2004;207,910
05/2004;259,501
06/2004;311,410
07/2004;366,753
08/2004;422,661
09/2004;481,020
10/2004;542,023
11/2004;605,743
12/2004;669,340
01/2005;59,732
02/2005;120,949
03/2005;186,355
04/2005;254,830
05/2005;326,885
06/2005;400,664
07/2005;476,581
08/2005;555,042
09/2005;634,825
10/2005;719,724
11/2005;808,002
12/2005;892,033
01/2006;79,578
02/2006;161,201
03/2006;251,891
04/2006;340,343
05/2006;431,523
06/2006;518,085
07/2006;611,046
08/2006;707,920
09/2006;802,724
10/2006;904,689
11/2006;1,007,061
12/2006;1,107,131
01/2007;96,484
02/2007;192,403
03/2007;298,930
04/2007;406,241
05/2007;520,513
06/2007;635,906
07/2007;757,744
08/2007;875,820
09/2007;994,317
10/2007;1,129,438
11/2007;1,265,435
12/2007;1,396,797
01/2008;129,544
02/2008;261,958
03/2008;404,598
